What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Gender,Irish County,Device OS,Age
Yes,No,No,Yes,No,No,I do not have social media ,Less than 1 hour ,No read,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Daily ,In the past week ,A department store,9,Trust Completely ,Yes ,Hashtag ,Female,Ulster ROI Only,Web,36 53
No,Yes,No,Yes,No,No,1 ,2-4 hours ,I think it can be both positive and negative ,No,,,,,,,,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,A department store,10,Trust Completely ,Yes ,Tagline,Female,Munster,Web,36 53
Yes,Yes,No,No,No,No,2,1-2 hours ,I only use it for funny videos as I think social media has lots of fake news and misinformation and also it's easy to keep comparing your self to these fake people and fell bad ,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last 6 months ,Their website,1,Trust Somewhat ,Yes ,Neither,Male,Leinster,Web,23 35
Yes,Yes,No,Yes,No,No,1 ,2-4 hours ,Don't mind at all,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Never ,In the last month ,Their Instagram page,5,Trust Somewhat ,I don't know ,Tagline,Female,Leinster,Android,36 53
Yes,No,No,No,No,No,1 ,Less than 1 hour ,"It's ok, but there is plenty of krap",No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,6,Neither Trust or Distrust ,Yes ,Neither,Male,Munster,Web,23 35
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,I.think it is good as they get to promote their products and build an audience ,Yes,Yes,No,No,No,Yes,No,No,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Every few weeks ,In the past week ,Their website,9,Trust Completely ,No ,Neither,Male,Leinster,Android,36 53
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,That's where I see their advertisements now so I'm OK with it,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last month ,Their website,3,Trust Somewhat ,Yes ,Tagline,Female,Munster,Android,23 35
Yes,Yes,No,No,No,No,1 ,2-4 hours ,I'm OK with it,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Distrust Completely ,Every few months ,In the last month ,Other,6,Trust Somewhat ,Yes ,Tagline,Female,Munster,Web,36 53
No,Yes,No,No,No,No,1 ,4-6 hours ,To many ads,No,,,,,,,,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Every few months ,In the last 18 months ,Another of their social media accounts,6,Trust Completely ,Yes ,Tagline,Female,Leinster,Web,36 53
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,They are ok in moderation. ,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the last month ,Their website,6,Trust Completely ,Yes ,Tagline,Male,Leinster,I OS,36 53
Yes,Yes,Yes,Yes,Yes,No,More than 2 ,1-2 hours ,You can easily find products information ,Yes,Yes,Yes,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 6 months ,Their website,8,Trust Somewhat ,I don't know ,Tagline,Male,Leinster,Android,23 35
Yes,Yes,Yes,Yes,No,No,1 ,Over 6 hours ,Fantastic marketing opportunity,Yes,Yes,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Every few weeks ,In the last month ,Their Instagram page,1,Trust Somewhat ,Yes ,Tagline,Female,Connacht,Android,18 22
Yes,Yes,Yes,Yes,No,No,More than 2 ,2-4 hours ,Yeah I think it's good as long as they're not spreading the wrong message. ,Yes,Yes,No,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Every few months ,In the last month ,Their website,8,Trust Somewhat ,No ,Hashtag ,Male,Leinster,Android,18 22
Yes,Yes,No,Yes,No,No,2,2-4 hours ,No comment ,Yes,No,No,No,Yes,No,No,No,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few days ,In the last month ,Their website,4,Trust Somewhat ,Yes ,Tagline,Female,Munster,I OS,56 65
Yes,Yes,Yes,Yes,Yes,No,1 ,2-4 hours ,Aib,No,,,,,,,,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Distrust Somewhat,Distrust Completely ,Daily ,In the last month ,Their Instagram page,1,Neither Trust or Distrust ,No ,Hashtag ,Male,Connacht,Web,36 53
Yes,Yes,Yes,Yes,No,No,1 ,1-2 hours ,"Keeps me up to date on products
",Yes,No,No,No,No,No,Yes,No,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Every few months ,In the last 18 months ,Their website,5,Trust Somewhat ,Yes ,Tagline,Female,Munster,Web,36 53
Yes,Yes,Yes,Yes,Yes,No,1 ,4-6 hours ,Takes away from my day ,Yes,Yes,Yes,No,Yes,No,No,No,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Every few days ,In the past week ,Their website,4,Trust Somewhat ,No ,Tagline,Male,Dublin,Web,36 53
Yes,No,Yes,No,No,No,1 ,Less than 1 hour ,All OK Not bad  ??,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,9,Neither Trust or Distrust ,Yes ,Neither,Male,Munster,Web,56 65
Yes,No,Yes,Yes,No,No,1 ,1-2 hours ,It is a good way to discover and interact with brands. ,Yes,Yes,No,No,No,No,No,No,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Every few weeks ,In the last month ,A department store,8,Trust Somewhat ,Yes ,Tagline,Male,Munster,Web,56 65
Yes,Yes,No,No,No,No,1 ,1-2 hours ,"It's a great way to keep up to date with favourite brands, new products and offers!",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Completely ,Every few weeks ,In the past week ,Their Instagram page,6,Trust Somewhat ,Yes ,Tagline,Male,Leinster,Android,36 53
Yes,Yes,No,No,No,No,1 ,1-2 hours ,Good for advertising ,Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Daily ,In the past week ,Their own retail shop,8,Trust Somewhat ,Yes ,Tagline,Female,Leinster,Web,23 35
No,Yes,Yes,No,No,No,2,2-4 hours ,"Repetitive , cheap Chinese made, misleading , spam ",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Distrust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Never ,In the last month ,A department store,3,Distrust Somewhat ,Yes ,Neither,Male,Dublin,I OS,36 53
Yes,No,No,No,No,No,1 ,Over 6 hours ,I don’t mind seeing brands on social media as I think it is a good platform for advertising ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Never ,In the last month ,A department store,7,Distrust Somewhat ,Yes ,Tagline,Female,Leinster,I OS,36 53
No,Yes,No,Yes,No,No,1 ,4-6 hours ,"Ye it's a good way for them to make money, lots of people use it",Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Trust Completely ,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Every few days ,In the last month ,Their website,10,Neither Trust or Distrust ,No ,Hashtag ,Male,Ulster ROI Only,Android,18 22
Yes,Yes,Yes,Yes,No,No,1 ,4-6 hours ,It helps you discover new brands that can be good. But some could be fake or very bad quality. But i think brands on social media is good because it gives them a space to express their brand ,Yes,No,Yes,No,No,No,Yes,No,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Never ,In the last 6 months ,Their website,7,Distrust Somewhat ,I don't know ,Tagline,Female,Connacht,Web,18 22
Yes,Yes,No,No,Yes,No,1 ,2-4 hours ,Good for companies to engage with an online audience as allows them build a client database ,Yes,Yes,No,No,No,No,Yes,No,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Every few days ,In the past week ,Their website,7,Trust Somewhat ,Yes ,Tagline,Male,Dublin,Android,36 53
Yes,Yes,Yes,Yes,Yes,No,1 ,2-4 hours ,It depends. I like brands that hire the right people that can post stuff with personality. I like humour in the post and interesting and fun video posts. I don’t like when brands are self serving by trying to be politically correct when they have no history of this. Just promote your brand in an interesting way and avoid being cringey ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the last month ,Their website,2,Distrust Somewhat ,Yes ,Tagline,Male,Dublin,Web,36 53
No,Yes,Yes,Yes,No,No,1 ,4-6 hours ,It’s a good way of advertising but I dislike how much free stuff brands send to influencers ,Yes,No,No,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the past week ,Their website,7,Trust Somewhat ,Yes ,Tagline,Female,Leinster,Web,23 35
Yes,Yes,No,No,No,No,1 ,2-4 hours ,I think it offers a good place to promote a brand to wide audience across many demographics. Brands shouldn't be pigeon holed to certain groups and social media offers a wider audience. It also allows brands develop a connection with consumers that may not be possible through other marketing strategies ,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Every few weeks ,In the last month ,Their website,3,Trust Somewhat ,No ,Neither,Female,Leinster,Web,36 53
Yes,No,No,No,No,No,2,4-6 hours ,It's good to keep up with current brands,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Every few months ,In the last month ,Their own retail shop,6,Trust Somewhat ,Yes ,Tagline,Female,Connacht,Android,56 65
Yes,No,Yes,No,No,No,1 ,Less than 1 hour ,Don't like much ,No,,,,,,,,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Completely ,Distrust Completely ,Distrust Completely ,Never ,In the last 6 months ,Their own retail shop,5,Distrust Somewhat ,I don't know ,Neither,Male,Dublin,Web,56 65
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,I think it’s a good idea. It’s the first place I’d go to get any info on a brand,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Every few days ,In the last month ,Their website,9,Trust Somewhat ,Yes ,Tagline,Female,Munster,Web,23 35
Yes,Yes,No,No,No,No,1 ,1-2 hours ,It's not something I expected to see. But I do follow a handful now. But I don't want my feed turning into a TV ad break either. Usually end up following brands because of a competition if I'm honest. ,Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Every few months ,In the last month ,Their website,8,Trust Somewhat ,I don't know ,Neither,Female,Munster,Android,36 53
Yes,Yes,No,No,Yes,No,1 ,2-4 hours ,It’s annoying!,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their own retail shop,5,Neither Trust or Distrust ,No ,Neither,Male,Dublin,I OS,23 35
Yes,Yes,No,Yes,No,No,1 ,4-6 hours ,"I understand they should have a presence as many people resort to outing them on social media to get them to respond if a problem, I wouldn't personally follow a brand really",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Never ,In the last month ,A department store,4,Distrust Somewhat ,Yes ,Tagline,Female,Munster,Android,36 53
Yes,Yes,Yes,Yes,Yes,No,2,4-6 hours ,It brings out more awareness for better result ,Yes,No,No,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the last month ,Their website,7,Trust Completely ,Yes ,Tagline,Male,Munster,Android,36 53
Yes,Yes,Yes,No,No,No,More than 2 ,1-2 hours ,It enhances their audience,No,,,,,,,,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last month ,Their website,6,Trust Somewhat ,Yes ,Tagline,Male,Dublin,Android,36 53
Yes,Yes,No,Yes,No,No,1 ,Over 6 hours ,I think it's cool that I can see updates from the brand ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Every few months ,In the last 18 months ,Their own retail shop,7,Neither Trust or Distrust ,No ,Tagline,Female,Munster,Android,18 22
Yes,Yes,No,Yes,No,No,2,2-4 hours ,I think it’s a great way for them to reach a broader younger audience ,No,,,,,,,,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Completely ,Every few weeks ,In the last month ,Their own retail shop,7,Trust Somewhat ,Yes ,Tagline,Female,Munster,Web,23 35
No,Yes,Yes,Yes,No,No,1 ,1-2 hours ,. ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Never ,In the last 6 months ,Their website,2,Distrust Somewhat ,Yes ,Tagline,Male,Connacht,I OS,23 35
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,"I like it, gives up to date info on their products and you can follow or unfollow as you please. Usually good competitions and offers ",No,,,,,,,,Trust Completely ,Distrust Somewhat,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Never ,In the last 6 months ,Another of their social media accounts,8,Trust Completely ,Yes ,Tagline,Female,Leinster,Web,36 53
Yes,Yes,Yes,No,Yes,No,2,4-6 hours ,I think it's great having to create awareness to people about your product,Yes,Yes,Yes,Yes,No,No,Yes,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the past week ,Their website,0,Trust Somewhat ,Yes ,Tagline,Male,Munster,Android,23 35
Yes,Yes,Yes,Yes,Yes,No,1 ,4-6 hours ,It can be beneficial to them to help them generate more sales but they need to be conscious about the content they are putting out ,Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their own retail shop,2,Distrust Somewhat ,No ,Tagline,Female,Leinster,I OS,23 35
